Tutorial Group,Student ID,School,Name,Gender,CGPA,Assigned_Group,Vector_Displacement
G-1,5002,CCDS,Aarav Singh,Male,4.02,G-1-8,1.220629
G-1,3861,ASE,Layla Torres,Female,4.52,G-1-8,1.227605
G-1,288,CoB (NBS),Ajay Verma,Male,4.01,G-1-9,0.420693
G-1,2151,EEE,Mei Hong,Female,4.02,G-1-9,0.860629
G-1,2069,SSS,Kathy Lau,Female,4.48,G-1-9,1.066311
G-1,5119,ADM,Nhung Vu,Female,4.04,G-1-9,1.220524
G-1,1329,NIE,Nguyen Van Sam,Male,3.85,G-1-9,1.382813
G-1,2230,CoB (NBS),Harlow Wang,Female,4.18,G-1-10,0.260685
G-1,4576,EEE,Jie Zhang,Male,4.03,G-1-10,1.020572
G-1,4402,CCDS,Grace Turner,Female,4.08,G-1-10,1.06041
G-1,945,MAE,Han Li,Female,4.1,G-1-10,1.100401
G-1,4657,SoH,Oleg Petrovich,Male,4,G-1-10,1.220766
G-2,5750,WKW SCI,Chunhua,Female,3.9,G-2-1,0.205023
G-2,1726,CCEB,Lara Li,Female,4.2,G-2-1,0.964096
G-2,1428,MAE,Selena Tan,Female,4.17,G-2-1,1.083865
G-2,1877,CCDS,Zhengrong,Male,4.2,G-2-1,1.204096
G-2,764,CEE,Ahmad Ramlie,Male,4.02,G-2-1,1.323788
G-2,3611,CCDS,Sofia Chandra,Female,4.22,G-2-2,0.924291
G-2,3636,CCEB,Nadia Iqbal,Female,4.16,G-2-2,0.963804
G-2,1965,SBS,Stella Bryant,Female,3.88,G-2-2,1.085341
G-2,4392,EEE,Nathaniel Adams,Male,4.2,G-2-2,1.284096
G-2,248,SSS,Winston Villanueva,Male,4.03,G-2-2,1.323737
G-2,3527,WKW SCI,Eli Walker,Male,4.19,G-2-3,0.484011
G-2,1814,CCEB,Mingjing,Female,4.05,G-2-3,0.96366
G-2,321,SoH,Anya Chua,Female,4.01,G-2-3,1.083847
G-2,3615,MSE,Shalini Pillai,Female,4.22,G-2-3,1.084291
G-2,3026,NIE,David Ho,Male,4,G-2-3,1.403914
G-2,5080,CoB (NBS),Mira Lin,Female,4.15,G-2-4,0.203751
G-2,4759,CCEB,Xiu Li,Female,4.03,G-2-4,0.963737
G-2,4851,SSS,Fatima Rani,Female,4.09,G-2-4,1.0436
G-2,5103,CCDS,Ki-Hoon Kim,Male,4.03,G-2-4,1.203737
G-2,3533,CEE,Izzat Bin Ibrahim,Male,4.15,G-2-4,1.323751
G-2,3523,WKW SCI,Haroon Ali,Male,3.95,G-2-5,0.484368
G-2,5226,CCEB,Patricia Wong,Female,4.18,G-2-5,0.963934
G-2,2712,SBS,Mei Zhao,Female,4.12,G-2-5,1.083639
G-2,4123,NIE,Nguyen Thi Phuong,Female,4.03,G-2-5,1.123737
G-2,2788,MSE,Carter Moore,Male,4.17,G-2-5,1.363865
G-2,1765,CCDS,Aadhya Sharma,Female,4.01,G-2-6,0.923847
G-2,3926,EEE,Gisela Tan,Female,4.19,G-2-6,1.004011
G-2,5996,MAE,Fatima Yusof,Female,4.19,G-2-6,1.084011
G-2,3568,ASE,Tanya Sharma,Female,4.03,G-2-6,1.163737
G-2,5073,SoH,Quinn Lee,Male,4.01,G-2-6,1.363847
G-2,2611,CoB (NBS),Yang Zhang,Male,4.07,G-2-7,0.483614
G-2,2052,EEE,Layla Collins,Female,4.05,G-2-7,1.00366
G-2,5371,SBS,Lina Binti Ali,Female,4.19,G-2-7,1.084011
G-2,4558,MAE,Shirley Tan,Female,4.06,G-2-7,1.083633
G-2,3501,SoH,Derek Adams,Male,4.05,G-2-7,1.36366
G-2,2547,CCDS,Lila Zhao,Female,4.01,G-2-8,0.923847
G-2,4624,EEE,Tina Tan,Female,4.03,G-2-8,1.003737
G-2,5994,MSE,Zain Qureshi,Female,4.11,G-2-8,1.083618
G-2,1455,ADM,Sophia Koh,Female,4.15,G-2-8,1.163751
G-2,2473,SPMS,Jasper Lim,Male,4.12,G-2-8,1.443639
G-2,3212,CoB (NBS),Priya Gupta,Female,4.07,G-2-9,0.203614
G-2,460,CCDS,Brianna Johnson,Female,4.1,G-2-9,0.923605
G-2,5802,CEE,Addison Chen,Female,4.03,G-2-9,1.043737
G-2,586,EEE,Isaiah Turner,Male,4.18,G-2-9,1.283934
G-2,4453,SSS,Jesse Bennett,Male,4.03,G-2-9,1.323737
G-2,229,CoB (NBS),Lana Turner,Female,4.17,G-2-10,0.203865
G-2,3882,CCEB,Yoshiko Mori,Female,4.03,G-2-10,0.963737
G-2,4738,SSS,Hanafi Bin Mohd,Female,4.05,G-2-10,1.04366
G-2,1130,CCDS,Yuri Chekhov,Male,4.03,G-2-10,1.203737
G-2,4006,CEE,Ali Abubakar,Male,4.12,G-2-10,1.323639
G-3,1054,WKW SCI,Zeeshan Iqbal,Male,4.06,G-3-1,0.338081
G-3,3045,EEE,Jing Xuan,Female,4.03,G-3-1,1.018225
G-3,1648,MAE,Benjamin Hernandez,Male,4.79,G-3-1,1.076769
G-3,341,CCDS,Cecilia Chen,Female,4.03,G-3-1,1.098225
G-3,1242,CCEB,Qing Li,Female,4.01,G-3-1,1.258361
G-3,3612,CoB (NBS),Maya Zhang,Female,3.9,G-3-2,0.339681
G-3,4764,EEE,Evelyn Wong,Female,3.85,G-3-2,1.020601
G-3,1782,CCDS,Harvey Smith,Male,4.05,G-3-2,1.098121
G-3,3028,CEE,Hunter Green,Male,4.97,G-3-2,1.127929
G-3,3237,SPMS,Tomi Budi,Male,4.05,G-3-2,1.258121
G-3,4981,EEE,Aditi Bhatia,Female,4.1,G-3-3,1.018001
G-3,5781,MAE,Hina Bhatia,Female,4.15,G-3-3,1.058081
G-3,1474,CEE,Riya Shah,Female,4.09,G-3-3,1.098009
G-3,2098,SoH,Zhen Yu,Male,4.09,G-3-3,1.218009
G-3,5580,SSS,Wei Fang,Male,4.12,G-3-3,1.258009
G-3,5187,CoB (NBS),Rita Rani,Female,4.05,G-3-4,0.338121
G-3,5730,EEE,Qing Zhao,Male,4.11,G-3-4,1.018001
G-3,2061,CCDS,Leo Li,Male,4.15,G-3-4,1.098081
G-3,585,SoH,Naina Kapoor,Female,4.12,G-3-4,1.218009
G-3,584,CCEB,Ella Cheung,Female,4.1,G-3-4,1.258001
G-3,26,WKW SCI,Autumn Diaz,Female,4.03,G-3-5,0.338225
G-3,3296,MAE,Christian Ward,Male,4.11,G-3-5,1.058001
G-3,3409,CCDS,Milo Tan,Male,4.17,G-3-5,1.098169
G-3,1693,SoH,Jasmine Sari,Female,4.05,G-3-5,1.218121
G-3,310,SSS,Zeeshan Bukhari,Female,4.17,G-3-5,1.258169
G-3,3418,CoB (NBS),Kobe Alexander,Male,4.02,G-3-6,0.338289
G-3,5989,EEE,Rachel Ong,Female,3.96,G-3-6,1.018841
G-3,2764,CEE,Maya Patel,Female,4.09,G-3-6,1.098009
G-3,2746,CoE,Xuan Zhang,Male,4.2,G-3-6,1.218361
G-3,2121,MSE,Jianli,Male,4.2,G-3-6,1.258361
G-3,5842,EEE,Harvey Tan,Male,4.1,G-3-7,1.018001
G-3,2680,MAE,Nida Waseem,Female,4,G-3-7,1.058441
G-3,3152,CEE,Lily Zhou,Female,4.2,G-3-7,1.098361
G-3,4723,CoE,Asher Brown,Male,4.15,G-3-7,1.218081
G-3,3740,ADM,Zuri Lin,Female,4.02,G-3-7,1.298289
G-3,3414,CoB (NBS),Keng Tan,Male,4.15,G-3-8,0.338081
G-3,668,EEE,Riya Desai,Female,4.08,G-3-8,1.018025
G-3,3569,MAE,Neha Sharma,Female,3.86,G-3-8,1.060401
G-3,4291,CEE,Ethan Lee,Male,4.02,G-3-8,1.098289
G-3,1144,MSE,Gabriel Wood,Male,4.22,G-3-8,1.258529
G-3,3405,CoB (NBS),Nadia Noor,Female,4.03,G-3-9,0.338225
G-3,3463,MAE,Felix Tsang,Male,4,G-3-9,1.058441
G-3,2701,CEE,Nguyen Van Tam,Male,4.18,G-3-9,1.098225
G-3,2124,CCDS,Keith Tan,Male,3.96,G-3-9,1.098841
G-3,650,SPMS,Olivia Goh,Female,4.15,G-3-9,1.258081
G-3,5379,WKW SCI,Gita Saputra,Female,4.15,G-3-10,0.338081
G-3,2119,EEE,Khairul Anuar Bin Mohd,Male,4.05,G-3-10,1.018121
G-3,1947,MAE,Keira Lee,Female,3.94,G-3-10,1.059089
G-3,1314,CCDS,Nashit Bhatia,Male,4.22,G-3-10,1.098529
G-3,1710,CoE,Mansoor Aslam,Male,3.95,G-3-10,1.218961
G-4,3925,CoB (NBS),Sophia Mitchell,Female,4.07,G-4-1,0.168403
G-4,1830,WKW SCI,Fiona Yeo,Female,4.21,G-4-1,0.169086
G-4,3236,CCDS,Xiu Fen,Female,4.11,G-4-1,0.968438
G-4,3431,CCEB,Dylan Ward,Male,4.15,G-4-1,1.248602
G-4,5401,EEE,David Hughes,Male,4.15,G-4-1,1.288602
G-4,1619,CoB (NBS),Aiden Turner,Male,4,G-4-2,0.52865
G-4,3674,CCDS,Xiaoping,Female,4.1,G-4-2,0.968418
G-4,5568,LKCMedicine,Sophie Fox,Female,4.08,G-4-2,1.0884
G-4,2802,ADM,Nina Baker,Female,4.12,G-4-2,1.128467
G-4,791,CEE,Arvind Rao,Male,4.15,G-4-2,1.488602
G-4,865,CoB (NBS),Meera Bansal,Female,3.97,G-4-3,0.168875
G-4,1930,EEE,Gracie Scott,Female,4.22,G-4-3,0.929195
G-4,5625,MAE,Nora Pineda,Female,3.92,G-4-3,1.009411
G-4,4700,SBS,Ruby Kwan,Female,4.16,G-4-3,1.088662
G-4,2727,SoH,Kieran Ross,Male,4.18,G-4-3,1.408808
G-4,1101,CoB (NBS),Nozomi Takahashi,Female,4.26,G-4-4,0.16971
G-4,430,EEE,Lan Huang,Female,4.05,G-4-4,0.928434
G-4,345,CoE,Hana Tan,Female,4.09,G-4-4,1.048405
G-4,3500,ASE,Sania Bukhari,Female,4.04,G-4-4,1.128461
G-4,842,SSS,Santiago De Leon,Male,4.01,G-4-4,1.40859
G-4,5979,CoB (NBS),Parvati Chatterjee,Female,4.09,G-4-5,0.168405
G-4,2775,CCEB,Zainab Farooq,Female,4.15,G-4-5,0.888602
G-4,1991,CCDS,Emily Tan,Female,4.03,G-4-5,0.968496
G-4,3155,EEE,Luca Wu,Male,4.02,G-4-5,1.288539
G-4,4944,SoH,William Harris,Male,4.12,G-4-5,1.408467
G-4,5644,CoB (NBS),Fatimah Abdullah,Female,4.15,G-4-6,0.168602
G-4,3600,CCEB,Ming Li Tan,Female,3.85,G-4-6,0.890498
G-4,2107,MAE,Cathy Ng,Female,4.08,G-4-6,1.0084
G-4,5413,LKCMedicine,Nurul Hafiza,Female,4.2,G-4-6,1.088986
G-4,1302,SoH,Zachary Nelson,Male,4.12,G-4-6,1.408467
G-4,1162,CoB (NBS),Eryan,Female,4.2,G-4-7,0.168986
G-4,4671,EEE,Juliati Wibowo,Female,4,G-4-7,0.92865
G-4,3831,SSS,Molly Chen,Female,4.03,G-4-7,1.048496
G-4,1899,SBS,Charlotte Tsai,Female,4.14,G-4-7,1.088549
G-4,5450,CoE,Emilio Garcia,Male,4.03,G-4-7,1.408496
G-4,1535,CoB (NBS),Sofia Khan,Female,4.02,G-4-8,0.168539
G-4,67,CCEB,Laura Tan,Female,3.95,G-4-8,0.889066
G-4,3498,MAE,Lina Tan,Female,4.11,G-4-8,1.008438
G-4,4046,CCEB,Kiran Patel,Male,4.17,G-4-8,1.248731
G-4,2985,CCDS,Elias Carter,Male,4.14,G-4-8,1.328549
G-4,4163,CoB (NBS),Esther Lee,Female,4.12,G-4-9,0.168467
G-4,3371,CCEB,Dapeng,Female,3.95,G-4-9,0.889066
G-4,3949,MAE,Pooja Verma,Female,4.22,G-4-9,1.009195
G-4,4605,CCEB,Derek Yang,Male,4.1,G-4-9,1.248418
G-4,1734,CCDS,Dmitry Orlov,Male,3.9,G-4-9,1.329682
G-4,3073,WKW SCI,Charles Robinson,Male,4,G-4-10,0.52865
G-4,2391,EEE,Sanya Mehta,Female,4.02,G-4-10,0.928539
G-4,3159,SSS,Rongwei,Female,3.95,G-4-10,1.049066
G-4,1184,MSE,Aaliyah Morgan,Female,4.2,G-4-10,1.128986
G-4,2341,CoE,Elan Shah,Male,3.85,G-4-10,1.410498
G-5,999,CoE,Marcus Turner,Male,3.88,G-5-1,1.399165
G-5,3227,EEE,Savannah Hayes,Female,3.9,G-5-1,0.878865
G-5,385,SPMS,Rhea Joshi,Female,4.2,G-5-1,1.038197
G-5,192,SSS,Layla Chen,Female,4.21,G-5-1,1.078299
G-5,5458,CCDS,Tian Gao,Male,4.48,G-5-1,1.204071
G-5,564,CoB (NBS),Qi Wang,Female,4.25,G-5-2,0.198786
G-5,554,EEE,Sophie Zhou,Female,4.11,G-5-2,0.877641
G-5,5290,MSE,Tanya Qureshi,Female,3.95,G-5-2,1.078253
G-5,1018,CCEB,Aria Morales,Female,4.26,G-5-2,1.078928
G-5,4931,SPMS,Lucas White,Male,4.06,G-5-2,1.317613
G-5,3798,CoB (NBS),Hassan Bin Yusof,Male,4,G-5-3,0.477842
G-5,3231,CCDS,Xiaofang,Female,4.15,G-5-3,0.917809
G-5,1922,CCEB,Ananya Choudhury,Female,4.03,G-5-3,1.077691
G-5,2825,SoH,Tatiana Morozova,Female,4.11,G-5-3,1.157641
G-5,4472,CoB (NBS),Ying Chen,Female,4.22,G-5-3,0.198409
G-5,2025,CoB (NBS),Xue Rui,Female,3.8,G-5-4,0.200687
G-5,1952,EEE,Riya Ali,Female,4.15,G-5-4,0.877809
G-5,4569,MSE,Rina Sato,Female,4.19,G-5-4,1.078104
G-5,5788,CoE,Samantha Taylor,Female,4.16,G-5-4,1.11787
G-5,5912,MAE,Dorian Wu,Male,4.14,G-5-4,1.397755
G-5,5658,CoB (NBS),Nisha Tan,Female,4.21,G-5-5,0.198299
G-5,614,EEE,Naomi Tanaka,Female,3.9,G-5-5,0.878865
G-5,1048,SPMS,Imogen Butler,Female,4.14,G-5-5,1.037755
G-5,2316,EEE,Exiang,Male,3.95,G-5-5,1.158253
G-5,1674,CCDS,Liam Reyes,Male,4.14,G-5-5,1.197755
G-5,1387,WKW SCI,Elijah Clark,Male,4.04,G-5-6,0.477657
G-5,2028,EEE,Harlow Diaz,Female,4.12,G-5-6,0.877671
G-5,1246,SSS,Yue Zhang,Female,4.07,G-5-6,1.077602
G-5,5047,MAE,Victoria Ward,Female,4,G-5-6,1.117842
G-5,4333,MSE,Anthony Parker,Male,4.1,G-5-6,1.35762
G-5,4766,CoB (NBS),Dylan Kim,Male,4.16,G-5-7,0.47787
G-5,3341,CCDS,Olive Li,Female,4.01,G-5-7,0.917784
G-5,1784,CCEB,Nadia Chai,Female,4.03,G-5-7,1.077691
G-5,2961,SBS,Danying,Female,4.05,G-5-7,1.157631
G-5,1976,NIE,Christopher Harris,Male,4.05,G-5-7,1.437631
G-5,5445,CoB (NBS),Samuel Huang,Male,4.19,G-5-8,0.478104
G-5,2383,CCDS,Rebecca Lee,Female,4.05,G-5-8,0.917631
G-5,5732,SSS,Michelle Kwan,Female,4.18,G-5-8,1.078018
G-5,975,ADM,Anushka Desai,Female,3.96,G-5-8,1.158155
G-5,3226,ASE,Aarav Patel,Male,3.9,G-5-8,1.438865
G-5,776,CoB (NBS),Suhana Roy,Female,4.2,G-5-9,0.198197
G-5,938,CoB (NBS),Ryan Hall,Male,3.88,G-5-9,0.479165
G-5,5755,CCDS,Katherine Lim,Female,3.88,G-5-9,0.919165
G-5,2309,EEE,Dmitri Andreev,Male,4.03,G-5-9,1.157691
G-5,2801,SPMS,Dorian Wu,Male,4.22,G-5-9,1.318409
G-5,5044,CoB (NBS),Shu Zhang,Female,4.01,G-5-10,0.197784
G-5,2171,WKW SCI,Gavin Carter,Male,3.94,G-5-10,0.47836
G-5,1336,CCDS,Wendy Wong,Female,4.18,G-5-10,0.918018
G-5,5026,EEE,Jamal Bin Rahman,Male,4.1,G-5-10,1.15762
G-5,4015,LKCMedicine,Priya Rao,Female,3.95,G-5-10,1.158253
G-6,4343,CoB (NBS),Suresh Nair,Male,3.91,G-6-1,0.43662
G-6,4419,SoH,Lianhua,Female,3.85,G-6-1,0.997668
G-6,206,MSE,Hannah Binti Ahmad,Female,4,G-6-1,1.115587
G-6,4516,LKCMedicine,Claire Ng,Female,4.79,G-6-1,1.214332
G-6,974,CoE,Dylan Ong,Male,4.1,G-6-1,1.3952
G-6,2265,CoB (NBS),Ranjit Singh,Male,4.03,G-6-2,0.435387
G-6,1827,SoH,Miranda Chang,Female,4.02,G-6-2,0.995446
G-6,798,SPMS,Jade Wibowo,Female,4.2,G-6-2,1.115613
G-6,5567,SBS,Mira Zhao,Female,4.26,G-6-2,1.156245
G-6,2422,CEE,Cameron Yang,Male,4.08,G-6-2,1.355214
G-6,5985,CoB (NBS),Elijah Huang,Male,4.03,G-6-3,0.435387
G-6,2939,SoH,Isha Patel,Female,4.04,G-6-3,0.995336
G-6,3079,EEE,Khalid Bin Mohd,Male,4.25,G-6-3,1.076119
G-6,1177,CCEB,Anum Malik,Female,4.22,G-6-3,1.155791
G-6,5167,CEE,Asher Edwards,Male,4.02,G-6-3,1.355446
G-6,4345,CoB (NBS),Clara Tan,Female,3.95,G-6-4,0.236081
G-6,4182,EEE,Meera Rao,Female,4.26,G-6-4,0.876245
G-6,2402,EEE,Gabriel Howard,Male,4.09,G-6-4,1.075203
G-6,3915,SSS,Abigail Nelson,Female,4.06,G-6-4,1.155259
G-6,1124,CCDS,Yuri Lebedev,Male,4.17,G-6-4,1.235405
G-6,5070,CoB (NBS),Alyssa Wong,Female,4.18,G-6-5,0.235466
G-6,4430,EEE,Vicky Tan,Female,4.22,G-6-5,0.875791
G-6,4322,CCDS,Lily Zhao,Female,4.22,G-6-5,1.035791
G-6,3891,NIE,Sarah Robinson,Female,3.9,G-6-5,1.116775
G-6,1716,SPMS,Rajesh Iyer,Male,4,G-6-5,1.315587
G-6,3098,CoB (NBS),Aadhya Patel,Female,4.19,G-6-6,0.235536
G-6,2455,EEE,Yuki Hoshino,Female,4.22,G-6-6,0.875791
G-6,416,EEE,Li Wei Tan,Male,4,G-6-6,1.075587
G-6,2774,SSS,Maya Brown,Female,3.95,G-6-6,1.156081
G-6,5113,CCDS,Brady Yang,Male,4.15,G-6-6,1.235307
G-6,4257,WKW SCI,Yasmine Tan,Female,4.14,G-6-7,0.235269
G-6,4311,EEE,Umi Lestari,Female,4.05,G-6-7,0.875294
G-6,1951,CCDS,Madison Clark,Female,4.03,G-6-7,1.035387
G-6,3538,SoH,Elliot Wong,Male,4.19,G-6-7,1.195536
G-6,2090,MSE,Emilio Cruz,Male,4.09,G-6-7,1.315203
G-6,2938,CoB (NBS),Siti Mariam,Female,4.02,G-6-8,0.235446
G-6,1427,EEE,Rhea Tan,Female,4.22,G-6-8,0.875791
G-6,1967,CCDS,Angela Zhou,Female,4.19,G-6-8,1.035536
G-6,1654,NIE,Riya Singh,Female,3.92,G-6-8,1.116473
G-6,5426,SPMS,Henry Ramirez,Male,4.14,G-6-8,1.315269
G-6,2748,CoB (NBS),Brayden Lewis,Male,4.09,G-6-9,0.435203
G-6,1641,SoH,Harper Hall,Female,4.12,G-6-9,0.995219
G-6,1154,EEE,Wei Chen,Male,4,G-6-9,1.075587
G-6,1310,CCEB,Pauline Fung,Female,4.18,G-6-9,1.155466
G-6,4590,NIE,Kendall Yang,Male,4.01,G-6-9,1.315513
G-6,2883,WKW SCI,Ryo Tanaka,Male,4.01,G-6-10,0.435513
G-6,2971,SoH,Diana Ng,Female,3.98,G-6-10,0.995761
G-6,4390,MSE,Aubrey Carter,Female,4.02,G-6-10,1.115446
G-6,1610,MAE,Puja Nair,Female,4.11,G-6-10,1.195205
G-6,3285,SBS,Kian Wei Lim,Male,4.05,G-6-10,1.355294
G-7,2755,CoB (NBS),Bingwen,Male,4.52,G-7-1,0.307734
G-7,4320,EEE,Bilal Hussain,Male,4.01,G-7-1,0.940668
G-7,5243,CCEB,Soo-Yeon Lee,Female,4.02,G-7-1,1.140606
G-7,328,MAE,Evelyn Kelly,Female,4.26,G-7-1,1.141532
G-7,4197,MSE,Eli Tan,Male,3.89,G-7-1,1.262029
G-7,433,CoB (NBS),Priscilla Tan,Female,3.88,G-7-2,0.382194
G-7,4772,EEE,Anish Bhatia,Male,4.35,G-7-2,0.943067
G-7,4318,SoH,Hassan Malik,Male,4.05,G-7-2,1.14047
G-7,2113,CCDS,Sofia Martinez,Female,4.08,G-7-2,1.220406
G-7,2263,SBS,Indriani Wulandari,Female,4.25,G-7-2,1.261401
G-7,690,EEE,Hikaru Kuroda,Male,4.12,G-7-3,0.940432
G-7,2463,CCEB,Harsh Kumar,Male,4.19,G-7-3,1.060786
G-7,2967,CCDS,Oscar Lim,Male,4.11,G-7-3,1.140413
G-7,1357,SoH,Isabella Clark,Female,4.04,G-7-3,1.220507
G-7,3298,SSS,Xena Kwan,Female,4.14,G-7-3,1.300493
G-7,3924,CoB (NBS),Ayesha Shirin,Female,4.02,G-7-4,0.380606
G-7,2498,EEE,Ahmad bin Ali,Male,4.18,G-7-4,0.940711
G-7,5102,CCEB,Ursula Scott,Female,4.07,G-7-4,1.140419
G-7,3805,NIE,Charlie Wong,Male,4.15,G-7-4,1.180535
G-7,5077,SPMS,Neha Joshi,Female,4.17,G-7-4,1.260645
G-7,135,CoB (NBS),Waleed Iqbal,Male,4.21,G-7-5,0.300959
G-7,4351,EEE,Zoe Parker,Female,4.18,G-7-5,1.020711
G-7,984,MAE,Siti Aminah,Female,3.95,G-7-5,1.141204
G-7,5622,CCDS,Derek Johnson,Male,3.9,G-7-5,1.141871
G-7,2057,ADM,Noah Huang,Male,4.2,G-7-5,1.220868
G-7,550,EEE,Yong Jie,Male,4.15,G-7-6,0.940535
G-7,3624,MAE,Minh Tran,Male,3.9,G-7-6,1.061871
G-7,927,CCEB,Sofia Patel,Female,4.13,G-7-6,1.140458
G-7,4853,SBS,Andre Green,Male,4.03,G-7-6,1.180553
G-7,4184,SSS,Yun Chen,Female,4.2,G-7-6,1.300868
G-7,88,CoB (NBS),Addison Yang,Female,4.09,G-7-7,0.3804
G-7,1074,EEE,Matthew Lee,Male,4.02,G-7-7,0.940606
G-7,3257,MAE,Aria Khan,Female,4.14,G-7-7,1.140493
G-7,1116,NIE,Hunter Powell,Male,4.14,G-7-7,1.180493
G-7,4601,SPMS,Rosa Martinez,Female,4,G-7-7,1.260737
G-7,4398,EEE,Aiden Smith,Male,4.12,G-7-8,0.940432
G-7,5729,CCEB,Aiman Bin Azman,Male,4.1,G-7-8,1.060403
G-7,2655,MAE,Vera Yip,Female,4.14,G-7-8,1.140493
G-7,3407,CCDS,Ariana Tsai,Female,4.03,G-7-8,1.220553
G-7,1462,SBS,Yvonne Reyes,Female,3.9,G-7-8,1.261871
G-7,5145,EEE,Isaiah Lee,Male,4.03,G-7-9,0.940553
G-7,73,SoH,Daniel Robinson,Male,4.08,G-7-9,1.140406
G-7,5193,SoH,Min-Seok Lee,Male,4.22,G-7-9,1.141057
G-7,5822,SPMS,Daniel Patel,Male,3.88,G-7-9,1.182194
G-7,2211,CEE,Rita Chan,Female,4.07,G-7-9,1.340419
G-7,2159,CoB (NBS),Shinji Yoshida,Male,3.91,G-7-10,0.301722
G-7,955,CCEB,Devika Mehta,Female,4.1,G-7-10,1.140403
G-7,4279,MAE,Yuan Yi,Female,4.3,G-7-10,1.142134
G-7,2472,NIE,Cheng Wei,Male,4.08,G-7-10,1.180406
G-7,3448,ADM,Yoshinori Yamashita,Male,3.89,G-7-10,1.222029
G-8,5387,CoB (NBS),Tian Wei,Female,4.02,G-8-1,0.278999
G-8,5883,CCDS,Kira Tanaka,Female,4.04,G-8-1,0.918902
G-8,3068,EEE,Rafiq Bin Zain,Male,4.2,G-8-1,1.079279
G-8,3623,SoH,Zane Carter,Male,4.12,G-8-1,1.238835
G-8,5334,MAE,Souta Watanabe,Male,4.04,G-8-1,1.278902
G-8,1708,CoB (NBS),Mason Hughes,Male,3.89,G-8-2,0.40041
G-8,4942,EEE,Cindy Wong,Female,4.2,G-8-2,0.959279
G-8,4774,CCEB,Zara Rahman,Female,4.03,G-8-2,1.118947
G-8,2711,MSE,Anushka Verma,Female,4.25,G-8-2,1.199816
G-8,4548,CoE,Michael Young,Male,4.19,G-8-2,1.279195
G-8,5860,CoB (NBS),Wei Chen,Female,4.05,G-8-3,0.278866
G-8,4048,CCDS,Dmitry Petrov,Male,4.14,G-8-3,1.038898
G-8,3948,EEE,Harry Ho,Male,4.12,G-8-3,1.078835
G-8,2496,CoE,Ayla Wong,Female,4.04,G-8-3,1.158902
G-8,3368,SoH,Nathan Adams,Male,4.18,G-8-3,1.23912
