Tutorial Group,Total Students,Overall Avg CGPA,Group Number,Group Size,Group Students,Group Avg CGPA,Male Ratio,Female Ratio,School Diversity,GPA Variance,Gender Variance,Vector Displacement
G-100,50,4.09,Group 8,5,"Meera Menon, Margaret Li, Adrian King, Carla Wang, Tae-Soo Kim",4.08,0.4,0.6,5,0.0088,0.96,0.1358
G-100,50,4.09,Group 9,5,"Bella Perry, Naina Gupta, Seema Kapoor, Hassan Farooq, Orlando Wu",4.08,0.2,0.8,5,0.0128,0.64,0.164
G-100,50,4.09,Group 10,5,"Fergus Mendoza, Nadia Binti Azhar, Iris Rivera, Raquel Huang, Ashok Nair",4.18,0.4,0.6,5,0.0349,0.96,0.147
G-101,50,4.11,Group 1,5,"Sofia Reddy, Weijun, Daphne Tan, Xiao Ming, Evelyn Cheung",4.17,0.4,0.6,5,0.0426,0.96,0.0922
G-101,50,4.11,Group 2,5,"Minghao, Gia Tsai, Nguyen Thi Binh, Kevin Brown, Ethan Taylor",4.12,0.6,0.4,5,0.0133,0.96,0.1068
G-101,50,4.11,Group 3,5,"Owen Nugroho, Ning Li, Hope Chen, Sandeep Rao, Fatima Bhatia",4.12,0.4,0.6,5,0.0027,0.96,0.1149
G-101,50,4.11,Group 4,5,"Alani Lin, Christopher Cox, Sophia Jones, Manish Singh, Lola Tan",4.13,0.4,0.6,5,0.0037,0.96,0.1149
G-101,50,4.11,Group 5,5,"Wani Binti Jalil, Lucas Chen, Savannah Torres, Jaxon Lewis, Ying Wong",4.06,0.4,0.6,5,0.0125,0.96,0.1155
G-101,50,4.11,Group 6,5,"Kieran Harris, Rachel Choi, Khayla Rahayu, Nguyen Hoang Long, Riley Lim",4.14,0.6,0.4,5,0.0354,0.96,0.1152
G-101,50,4.11,Group 7,5,"Qi Chen, Zadie Harris, Madiha Ali, Wyatt Price, Zoe King",4.06,0.4,0.6,5,0.0564,0.96,0.1077
G-101,50,4.11,Group 8,5,"Carter Thompson, Jasper Wang, Amaya Sharma, Isla Young, Eli Cruz",4.11,0.6,0.4,5,0.0025,0.96,0.1388
G-101,50,4.11,Group 9,5,"Farhan Bin Azhar, Suraj Mishra, Hannah Smith, Shayla Wang, Ajay Iyer",4.12,0.6,0.4,5,0.0053,0.96,0.1389
G-101,50,4.11,Group 10,5,"Asher Nelson, Rishi Tan, Jin Yang Tan, Kate Tan, Kexin",4.05,0.6,0.4,5,0.0079,0.96,0.1238
G-102,50,4.1,Group 1,5,"Kiran Shah, Omar Farooq, Minh Tran, Min-Ji Park, Maximus Wright",4.09,0.6,0.4,5,0.0043,0.96,0.1054
G-102,50,4.1,Group 2,5,"Sakshi Singh, Ulysses Salazar, Levi Huang, Aria Murphy, Pranata Santoso",4.11,0.6,0.4,5,0.0095,0.96,0.1052
G-102,50,4.1,Group 3,5,"Margarita Sokolova, Yong Hui, Harsh Kumar, Nisha Gupta, Travis Lim",4.1,0.6,0.4,5,0.0083,0.96,0.1052
G-102,50,4.1,Group 4,5,"Zoe Martinez, Hansel Bautista, Ajay Bhatt, Maharani Sari, Riku Takeda",4.16,0.6,0.4,5,0.0116,0.96,0.1165
G-102,50,4.1,Group 5,5,"Anjali Kumar, Sofia Hernandez, Zara Lim, Asher Clark, Hao Yang Tan",4.13,0.4,0.6,5,0.0178,0.96,0.1133
G-102,50,4.1,Group 6,5,"Sakshi Iyer, Felix Wong, Kanwal Bukhari, Raj Tan, Svetlana Chernyshova",4.09,0.4,0.6,5,0.0074,0.96,0.1206
G-102,50,4.1,Group 7,5,"Alina Awan, Melati Ahmad, Gina Lau, Luca Torres, Elisha Wu",4.1,0.4,0.6,5,0.0136,0.96,0.1366
G-102,50,4.1,Group 8,5,"Lan Nguyen, Nafisa Ali, Maya Sari, Nira Gupta, Bradley Yang",4.09,0.2,0.8,5,0.0055,0.64,0.1648
G-102,50,4.1,Group 9,5,"Lyric Tan, Nina Phillips, Fariha Noor, Megan Walker, Wyatt Thompson",4.09,0.2,0.8,5,0.0013,0.64,0.1729
G-102,50,4.1,Group 10,5,"Henry Tan, Simran Singh, Layla Cooper, Liu Fang, Cheng Fang Tan",4.05,0.4,0.6,4,0.0012,0.96,0.2267
G-103,50,4.1,Group 1,5,"Tyler Hall, Aria Martinez, Selina Loh, Naim Bin Hashim, Amna Bukhari",4.1,0.4,0.6,5,0.0105,0.96,0.1036
G-103,50,4.1,Group 2,5,"Dallas Huang, Willow Wong, Chong Wang, Asha Mehta, Eli Tan",4.19,0.6,0.4,5,0.0437,0.96,0.0897
G-103,50,4.1,Group 3,5,"Mansoor Qureshi, Amira Tan, Queenie Lee, Saad Malik, Talha Iqbal",4.1,0.6,0.4,5,0.0014,0.96,0.1196
G-103,50,4.1,Group 4,5,"Everett Harris, Samantha Khan, Carmen Ong, Graham Jackson, David Young",4.12,0.6,0.4,5,0.0067,0.96,0.1196
G-103,50,4.1,Group 5,5,"Alan Chan, Hannah Sanders, Ethan White, Yuna Wong, Dev Sharma",4.13,0.6,0.4,5,0.0085,0.96,0.1198
G-103,50,4.1,Group 6,5,"Xiao Wei Tan, Fatima Baig, Maya Wilson, Kylie Chen, Irfan Bin Hassan",4.1,0.4,0.6,5,0.0117,0.96,0.1276
G-103,50,4.1,Group 7,5,"Yvonne Ng, Isaac Thompson, Maya Gonzales, Camila Li, Hikaru Sato",4.09,0.4,0.6,5,0.0279,0.96,0.1196
G-103,50,4.1,Group 8,5,"Vikram Singh, Zachary Lee, Anjali Singh, Layla Fisher, Maggie Kwan",4.06,0.4,0.6,5,0.0085,0.96,0.1281
G-103,50,4.1,Group 9,5,"Emily Scott, Fahim Hussein, Tommy Wu, Fatima Malik, Shiloh Lin",4.11,0.4,0.6,5,0.0057,0.96,0.1356
G-103,50,4.1,Group 10,5,"Sofia Kim, Simon Lee, Khalil Bin Ismail, Nadia Binti Zulkifli, Vy Nguyen",4.05,0.6,0.4,5,0.0106,0.96,0.1364
G-104,50,4.07,Group 1,5,"Anita Lim, Priya Roy, Gideon Torres, Anil Reddy, Chloe Scott",4.04,0.4,0.6,5,0.0103,0.96,0.0977
G-104,50,4.07,Group 2,5,"Fitri Binti Mohd, Giselle Wu, Zhen Zhang, William Yip, John Lim",4.07,0.6,0.4,5,0.0093,0.96,0.0953
G-104,50,4.07,Group 3,5,"Chloe Tan, Gracelyn Dela Cruz, Kamran Farooq, Leo Pranata, Prashant Joshi",4.07,0.6,0.4,5,0.0088,0.96,0.0953
G-104,50,4.07,Group 4,5,"Emi Yamashita, Madison Scott, Dahlia Chen, Ryder Ward, Benjamin Huang",4.09,0.4,0.6,5,0.0105,0.96,0.0973
G-104,50,4.07,Group 5,5,"Daniel Adams, Anaya Singh, Xena Reed, Maya Rahman, Waleed Malik",4.07,0.4,0.6,5,0.0027,0.96,0.1129
G-104,50,4.07,Group 6,5,"Rafael Wong, Lily Ong, Vera Ong, Eamon Liu, Pallavi Mehta",4.08,0.4,0.6,5,0.006,0.96,0.1129
G-104,50,4.07,Group 7,5,"Shahid Ali, Ying Zhang, Zainab Noor, Tara Wati, Jun Zhang",4.07,0.4,0.6,5,0.0163,0.96,0.1048
G-104,50,4.07,Group 8,5,"Jason Tan, Nisha Yadav, Emily Johnson, Nia Wong, Gideon Zhang",4.07,0.4,0.6,5,0.0079,0.96,0.1128
G-104,50,4.07,Group 9,5,"Nancy Yeo, Ashna Mehta, Chloe Wu, Sarah Liu, Lance Alvarado",4.06,0.2,0.8,5,0.0005,0.64,0.1673
G-104,50,4.07,Group 10,5,"Samantha Ong, Lila Wu, Sophia Taylor, Isha Verma, Chandra Menon",4.06,0.2,0.8,5,0.0007,0.64,0.1754
G-105,50,4.09,Group 1,5,"Claudia Tan, Devansh Mehta, Charlotte Gonzalez, Trung Le, Kylie Zhang",4.08,0.4,0.6,5,0.0056,0.96,0.0896
G-105,50,4.09,Group 2,5,"Ping An, Imran Bin Zahid, Arjun Nair, Isabella Rodriguez, Qiana Lestari",4.09,0.4,0.6,5,0.0303,0.96,0.0815
G-105,50,4.09,Group 3,5,"Alyssa Tan, Vincent Wong, Lola Zhang, Ronald Tan, Vira Dwi",4.04,0.4,0.6,5,0.0189,0.96,0.0915
G-105,50,4.09,Group 4,5,"Tatum Roberts, Pallavi Kumar, Logan Martin, James Jackson, Dallas Liu",4.08,0.6,0.4,5,0.0007,0.96,0.1004
G-105,50,4.09,Group 5,5,"Cora Zhang, Maya Torres, Shahid Raza, Chen Bo, Yumi Tanaka",4.06,0.4,0.6,5,0.0085,0.96,0.0983
G-105,50,4.09,Group 6,5,"Jonathan Wu, Julia Tan, Sophie Reed, Kunal Mehta, Olivia Miller",4.07,0.4,0.6,5,0.0139,0.96,0.1138
G-105,50,4.09,Group 7,5,"Nicolas Ramos, Addison Lin, Tessa Li, Callum Williams, Ricky Chen",4.12,0.6,0.4,5,0.0033,0.96,0.1247
G-105,50,4.09,Group 8,5,"Bennett Liu, Mei Chen, Amina Binti Zain, Max Johnson, Dao Tran",4.13,0.6,0.4,5,0.0039,0.96,0.1255
G-105,50,4.09,Group 9,5,"Yang Jun, Aditi Kumar, Daphne Li, Sabrina Zhao, Saad Javed",4.14,0.4,0.6,5,0.0066,0.96,0.131
G-105,50,4.09,Group 10,5,"Haruki Suzuki, Nisha Bansal, Amit Agarwal, Chen Li, Kiran Rao",4.12,0.6,0.4,5,0.0029,0.96,0.1327
G-106,50,4.08,Group 1,5,"Kathy Tan, Cole Huang, Megan Zhao, Jai Mehta, Oscar Villanueva",4.09,0.6,0.4,5,0.0072,0.96,0.0596
G-106,50,4.08,Group 2,5,"Akemi Takahashi, Gandhi Saputra, Fahad Ali, Sienna Lee, Siddharth Gupta",4.06,0.6,0.4,5,0.0143,0.96,0.0599
G-106,50,4.08,Group 3,5,"Priya Nair, Albert Wang, Kevin Wang, Guofeng, Cleo Morales",4.08,0.4,0.6,5,0.003,0.96,0.0727
G-106,50,4.08,Group 4,5,"Quinn Larson, Harrison Moore, Zedrick Ong, Minghao, Jason Robinson",4.18,0.6,0.4,5,0.0337,0.96,0.0709
G-106,50,4.08,Group 5,5,"Tania Ng, Dylan Li, Nolan Reyes, Miyu Nishimura, Eun-Hee Kim",4.08,0.4,0.6,5,0.0095,0.96,0.0727
G-106,50,4.08,Group 6,5,"Arya Kapoor, Noel Pineda, Rahul Mehta, Mira Binti Zaki, Nikhil Sharma",4.11,0.6,0.4,5,0.007,0.96,0.0758
G-106,50,4.08,Group 7,5,"Neelam Rani, Kavitha Tan, Reyansh Iyer, Thomas Harris, Hafiz Ahmad",4.1,0.6,0.4,5,0.0176,0.96,0.0996
G-106,50,4.08,Group 8,5,"Jun Liu, Aria Lee, Piper Chen, Sergei Ivanovich, Hoang Nguyen",3.99,0.4,0.6,5,0.0094,0.96,0.1082
G-106,50,4.08,Group 9,5,"Zara Malik, Isla Lee, Aria Tan, Oliver Martinez, Nisha Verma",4.08,0.2,0.8,5,0.0101,0.64,0.1466
G-106,50,4.08,Group 10,5,"Om Tan, Gabriella Dela Cruz, Charlotte Harris, Noah Morris, Jingyi",4.09,0.4,0.6,5,0.0038,0.96,0.1207
G-107,50,4.07,Group 1,5,"Meera Gupta, Ananya Roy, Zane Wong, Liu Yang, Yumi Hayashi",4.04,0.4,0.6,5,0.0077,0.96,0.0985
G-107,50,4.07,Group 2,5,"Xiaoling Chen, Madison Torres, Bria Tsai, Daniel Tan, Tanishq Reddy",4.06,0.4,0.6,5,0.0115,0.96,0.0978
G-107,50,4.07,Group 3,5,"Sana Menon, Lana Tan, Chad Dela Cruz, Joko Susanto, Nina Binti Noor",4.0,0.4,0.6,5,0.0157,0.96,0.1024
G-107,50,4.07,Group 4,5,"Rina Ali, Xiao Zhang, Nguyen Thi Hoa, Qiang Zhang, Min-Jung Kim",4.01,0.4,0.6,5,0.0175,0.96,0.0936
G-107,50,4.07,Group 5,5,"Vera Chan, Xiangqi, Misha Malik, Harvey Lim, Riana Binti Abdul",4.07,0.4,0.6,5,0.0158,0.96,0.1058
G-107,50,4.07,Group 6,5,"Le Van Minh, Carter Hall, Lily Lim, Zane Navarro, Suresh Bhat",4.13,0.4,0.6,5,0.0037,0.96,0.1181
G-107,50,4.07,Group 7,5,"Cheryl Ong, Arjun Sinha, Samantha Sanchez, Kai Qiang, Omar Rivera",4.1,0.6,0.4,5,0.0073,0.96,0.116
G-107,50,4.07,Group 8,5,"Zulaikha Binti Rahman, Hayden Wu, Kavita Singh, Yuri Grigorev, Karan Patel",4.05,0.4,0.6,5,0.0087,0.96,0.1141
G-107,50,4.07,Group 9,5,"Saanvi Roy, Victoria Reyes, Amara Siti, Jia Li, Emery Wu",4.12,0.2,0.8,5,0.008,0.64,0.1602
G-107,50,4.07,Group 10,5,"Samreen Ali, Amelia Lewis, Nina Zhao, Charu Iyer, Archer Powell",4.1,0.2,0.8,5,0.0101,0.64,0.158
G-108,50,4.08,Group 1,5,"Shahril Bin Hamid, Harini Nair, Randy Lim, Sophia Lee, Sheng Liu",4.07,0.4,0.6,5,0.0134,0.96,0.0836
G-108,50,4.08,Group 2,5,"Ruby Diaz, Shun Takahashi, Nguyen Van Cuong, Renee Lee, Julian Wu",4.08,0.6,0.4,5,0.0025,0.96,0.0996
G-108,50,4.08,Group 3,5,"Mason King, Maya Devi, Malia Tan, Caleb Parker, Siti Aisya Binti Ibrahim",4.09,0.4,0.6,5,0.0065,0.96,0.0916
G-108,50,4.08,Group 4,5,"Cameron Ward, Hana Watanabe, Raj Patel, Qing Liu, Mae Chang",4.06,0.4,0.6,5,0.0206,0.96,0.0997
G-108,50,4.08,Group 5,5,"Sakura Yamamoto, Kendrick Alvarado, Rajendra Kumar, Pooja Nair, Rajiv Nair",4.09,0.6,0.4,5,0.0075,0.96,0.1076
G-108,50,4.08,Group 6,5,"Hina Waseem, Shreya Rani, Noah Gray, Matthew Martinez, Rafika Binti Harun",4.14,0.4,0.6,5,0.0583,0.96,0.0925
G-108,50,4.08,Group 7,5,"Aarav Nair, Tara Lim, Lindsey Lin, Rizqi Bin Farhan, Nadya Zainal",4.08,0.4,0.6,5,0.0107,0.96,0.1156
G-108,50,4.08,Group 8,5,"Yan Mei, Priya Menon, Zeeshan Ahmed, Liang Bo, Liam Reddy",4.05,0.6,0.4,5,0.0109,0.96,0.124
G-108,50,4.08,Group 9,5,"Zheng Guo, Vidya Menon, Riya Mehta, Chen Ming, Camila Allen",4.06,0.4,0.6,5,0.0016,0.96,0.1318
G-108,50,4.08,Group 10,5,"Shoji Takahashi, Ivy Wang, Samuel Lee, Hugo Long, Asher Thompson",4.12,0.8,0.2,5,0.0453,0.64,0.1608
G-109,50,4.08,Group 1,5,"Alia Mohd, Harlow Chen, Hanh Pham, Kenta Suzuki, Asad Ali",4.08,0.4,0.6,5,0.0132,0.96,0.0448
G-109,50,4.08,Group 2,5,"Fangling, Zoey Chen, Hana Takemura, Nitin Chaudhary, Nova Ong",4.08,0.4,0.6,5,0.0023,0.96,0.0528
G-109,50,4.08,Group 3,5,"Raj Patel, Xuefeng, Ifti Binti Rahman, Cole Moore, Alina Smith",4.09,0.4,0.6,5,0.0069,0.96,0.0528
G-109,50,4.08,Group 4,5,"Noah Harris, Carmen Tan, Cassidy Wang, Arav Singh, Shahril Bin Muni",4.07,0.4,0.6,5,0.0183,0.96,0.0449
G-109,50,4.08,Group 5,5,"Hussain Bin Mohd, Maya Binti Rahim, Samantha Wilson, Kanti Gupta, Kendrick White",4.07,0.4,0.6,5,0.0113,0.96,0.069
G-109,50,4.08,Group 6,5,"Phan Van Hoa, Zarina Binti Ibrahim, Wendy Cheung, Ritika Joshi, Ajay Reddy",4.06,0.4,0.6,5,0.0179,0.96,0.0691
G-109,50,4.08,Group 7,5,"Liu Hong, Alvin Dela Cruz, Suriya Tan, Riya Verma, Rameez Shah",4.02,0.4,0.6,5,0.015,0.96,0.0725
G-109,50,4.08,Group 8,5,"Norah Ng, Kong Wei Tan, Nori Matsuda, Lina Teo, Shahrir Bin Rahman",4.12,0.4,0.6,5,0.0131,0.96,0.0858
G-109,50,4.08,Group 9,5,"Cheng Wei Yeo, Logan Harris, Ophelia Santos, Nia Carter, Claire Bennett",4.13,0.4,0.6,4,0.0065,0.96,0.1662
G-109,50,4.08,Group 10,5,"Miriam Tan, Zhi Wei Lim, Sana Rehman, Sofia Wong, James Taylor",4.13,0.4,0.6,5,0.0054,0.96,0.1023
G-11,50,4.07,Group 1,5,"Liang Mei, Julian Tan, Alison Wong, Tanvi Agarwal, Peiyu",4.13,0.4,0.6,5,0.0122,0.96,0.0698
G-11,50,4.07,Group 2,5,"Tara Kumar, Noah Wilson, Zainab Rahman, Peilin, Ethan Ong",4.07,0.4,0.6,5,0.0022,0.96,0.0757
G-11,50,4.07,Group 3,5,"Sana Ali, William Lim, Caleb Murphy, Daya Kumari, Nina Butler",4.0,0.4,0.6,5,0.0086,0.96,0.0787
G-11,50,4.07,Group 4,5,"Kelly Lim, Seth Lim, Sebastian Mitchell, Elena Vladimirovna, Chengwei",4.06,0.6,0.4,5,0.0183,0.96,0.0816
G-11,50,4.07,Group 5,5,"Arun Singh, Chloe Hu, Erqi, Tania Kurnia, Tian Yi",4.08,0.6,0.4,5,0.0128,0.96,0.0815
G-11,50,4.07,Group 6,5,"Wesley Turner, Charlotte Martin, Cleo Wang, Riya Khan, Tyler Moore",4.07,0.4,0.6,5,0.0035,0.96,0.0917
G-11,50,4.07,Group 7,5,"William Carter, Richa Agarwal, Lian Liu, Neha Kapoor, Jin Lee",4.08,0.4,0.6,5,0.0076,0.96,0.0918
G-11,50,4.07,Group 8,5,"Jacob Howard, Ying Zhao, Charlotte Thomas, Nora Zhang, Hugo Huang",4.03,0.4,0.6,5,0.0135,0.96,0.0926
G-11,50,4.07,Group 9,5,"Zhao Rui, Jovian Tan, Dewi Astuti, Ella Johnson, Aisha Fitria",4.14,0.4,0.6,4,0.0182,0.96,0.1748
G-11,50,4.07,Group 10,5,"Alondra Santos, Dylan Anderson, Kunal Tan, Nguyen Hoang Khoa, Ethan Lee",4.06,0.6,0.4,4,0.0224,0.96,0.1376
G-110,50,4.08,Group 1,5,"Anjali Sharma, Rajesh Desai, Wendy Chia, Nash Tan, Tobias Alonzo",4.09,0.6,0.4,5,0.0071,0.96,0.1122
G-110,50,4.08,Group 2,5,"Mizuki Yamashita, Ying Mei, Kevin Ross, Anthony Liu, Gage Yang",4.06,0.6,0.4,5,0.0017,0.96,0.1122
G-110,50,4.08,Group 3,5,"Sukanya Das, Yuna Takahashi, Shi Wei Lim, Wei Jun, Jamal Bin Rahman",4.07,0.6,0.4,5,0.0017,0.96,0.1121
G-110,50,4.08,Group 4,5,"Quang Vu, Nurul Izzah, Jason Lam, Nashit Lee, Rohan Shah",4.1,0.6,0.4,5,0.0051,0.96,0.1125
G-110,50,4.08,Group 5,5,"Cheng Wu, Faisal Malik, Eric Wong, Aubrey Davis, Nora Alia",4.08,0.4,0.6,5,0.0045,0.96,0.1136
G-110,50,4.08,Group 6,5,"Rina Ahmad, Alaina Chang, Olga Reyes, Jia Wei, Silas Kim",4.13,0.4,0.6,5,0.008,0.96,0.1163
G-110,50,4.08,Group 7,5,"Laila Thomas, Madison Edwards, Emma Black, Vincent Lim, Jaxon Lee",4.07,0.4,0.6,5,0.0038,0.96,0.1377
G-110,50,4.08,Group 8,5,"Alana Lee, Zara Binti, Fatima Binti, Ashlyn Wu, Glenn Wong",4.06,0.2,0.8,5,0.0044,0.64,0.1523
G-110,50,4.08,Group 9,5,"Avery Chan, Chloe Turner, Nadia Binti, Sarah Wang, Samuel Cook",4.09,0.2,0.8,5,0.0071,0.64,0.1601
G-110,50,4.08,Group 10,5,"Anya Bogdanova, Riley Baker, Brianna Foster, Akemi Watanabe, Wren Tsai",4.02,0.0,1.0,5,0.0107,0.0,0.2068
G-111,50,4.09,Group 1,5,"Caleb Gray, Penny Wong, Dylan Wang, Lily Scott, Haruto Suzuki",4.09,0.6,0.4,5,0.0073,0.96,0.0981
G-111,50,4.09,Group 2,5,"Tyler Reddy, Haojun, Mateo Huang, Chandni Verma, Hiroshi Matsumoto",4.09,0.6,0.4,5,0.0562,0.96,0.1061
G-111,50,4.09,Group 3,5,"Liam Wright, Nisha Malhotra, Madison Bailey, Oliver Chan, Shinichi Nakagawa",4.1,0.6,0.4,5,0.0042,0.96,0.1061
G-111,50,4.09,Group 4,5,"Wang Ming, Deena Binti Mohd, Angela Lim, Deng Jian, Tristan Young",4.09,0.6,0.4,5,0.0139,0.96,0.0981
G-111,50,4.09,Group 5,5,"Kartik Reddy, Hong Mei, Trisha Joshi, Jaxon Wu, Jaxon Green",4.17,0.6,0.4,5,0.0089,0.96,0.1001
G-111,50,4.09,Group 6,5,"Panshi, Willow Chen, Raghav Reddy, Sophie Mendoza, Samira Khan",4.08,0.4,0.6,5,0.0289,0.96,0.1199
G-111,50,4.09,Group 7,5,"Parker Martin, Violet Perez, Ethan James, Gina Wong, Dewi Sari",4.06,0.4,0.6,5,0.0195,0.96,0.1281
G-111,50,4.09,Group 8,5,"Shreya Iyer, Afreen Bukhari, Tian Hua, Aisha Ali, Siti Nurhaliza Binti Idris",4.04,0.4,0.6,5,0.0152,0.96,0.1284
G-111,50,4.09,Group 9,5,"Mila Cook, Silas Wu, Gideon Green, Manisha Gupta, Hao Xun",4.12,0.6,0.4,5,0.0024,0.96,0.1303
G-111,50,4.09,Group 10,5,"Jasmine Rivera, Tae-Jin Kim, Thomas Harris, Xiong Wei Tan, Harper Tan",4.04,0.6,0.4,5,0.0138,0.96,0.1307
G-112,50,4.11,Group 1,5,"Penny Kwan, Caleb Mitchell, Fadli Hidayat, Ursula Turner, Keiko Mori",4.06,0.4,0.6,5,0.0095,0.96,0.0846
G-112,50,4.11,Group 2,5,"Fern Adams, Chen Yu, Cameron Tan, Ngoc Ho, Maris Tsai",4.05,0.4,0.6,5,0.0083,0.96,0.093
G-112,50,4.11,Group 3,5,"Talia Li, Mackenzie Russell, Ashton Lee, Theo Cooper, Rocco Ong",4.05,0.6,0.4,5,0.0083,0.96,0.0677
G-112,50,4.11,Group 4,5,"Uma Lopez, Sofia Khanna, Kyle Yip, Ryuu Tanaka, Linda Thomas",4.04,0.4,0.6,5,0.0139,0.96,0.0855
G-112,50,4.11,Group 5,5,"Farah Binti Ibrahim, Fatima Noor, Min Zhang, Laila Shah, Bingqi",4.16,0.4,0.6,5,0.0136,0.96,0.0852
G-112,50,4.11,Group 6,5,"Asha Tan, Lincoln Yang, Owais Javed, Bridgette Villanueva, Jagdeep Singh",4.09,0.6,0.4,5,0.0079,0.96,0.1144
G-112,50,4.11,Group 7,5,"Charlotte Robinson, Ravi Deshmukh, Dong Chen, Ritika Patel, Jackson Yang",4.14,0.6,0.4,5,0.004,0.96,0.1148
G-112,50,4.11,Group 8,5,"Emma Davis, Layla Reddy, Katia Tan, Sophia Moore, Zeke Yang",4.16,0.2,0.8,5,0.0333,0.64,0.1396
